type,time,x,y
GROUND,1752846572.8479826,-0.3486219545100644,0.3883867493041482
GROUND,1752846572.8602347,-0.34931775557392797,0.389411192439279
GROUND,1752846572.8723888,-0.34983988685783896,0.3903196831030742
GROUND,1752846572.8842175,-0.3504751768150127,0.3913178436718179
GROUND,1752846572.8959248,-0.35105324018896766,0.3919975992630831
GROUND,1752846572.9080956,-0.3516627898200575,0.39303480681626424
GROUND,1752846572.9203372,-0.35210590879456216,0.3936866960697921
GROUND,1752846572.932024,-0.35273886922936537,0.3945268137509589
GROUND,1752846572.9441795,-0.3532750615114355,0.39486279925647905
GROUND,1752846572.9559042,-0.35392324370789874,0.39557881437657927
GROUND,1752846572.9680889,-0.35461172744329694,0.3962291949476421
GROUND,1752846572.980293,-0.3551577715672316,0.3963434872825994
GROUND,1752846572.991995,-0.35585745321122797,0.3969223291214907
GROUND,1752846573.0042222,-0.3565331992177101,0.3973515726898025
GROUND,1752846573.0159214,-0.3571573813281126,0.397754692774302
GROUND,1752846573.0280952,-0.3577408494011314,0.39817556344047544
GROUND,1752846573.0402732,-0.3585109653498164,0.39882294755219927
GROUND,1752846573.0518894,-0.35921403898487636,0.3990846374970908
GROUND,1752846573.0640652,-0.3598810221496085,0.3993601634871724
GROUND,1752846573.0778713,-0.3606442506281149,0.40006194547405616
GROUND,1752846573.0900743,-0.36138767457913445,0.4006897972091167
GROUND,1752846573.1022005,-0.361912138722813,0.40112643307059215
GROUND,1752846573.1138089,-0.3626062057615975,0.40190905683660794
GROUND,1752846573.126009,-0.3633038832290181,0.40270235400017007
GROUND,1752846573.1381378,-0.3637842435309957,0.40320175696524074
GROUND,1752846573.1497974,-0.3643687907042503,0.4039337623568562
GROUND,1752846573.1623328,-0.3650187394235105,0.4047262276082597
GROUND,1752846573.1741776,-0.365691623714981,0.40540335910040914
GROUND,1752846573.1862066,-0.36624360877299145,0.40587764796737313
GROUND,1752846573.1978586,-0.3669215199217435,0.40683876402226316
GROUND,1752846573.2102537,-0.36765844445569407,0.40792696892319735
GROUND,1752846573.222287,-0.36823340975453256,0.40836365170257016
GROUND,1752846573.2342644,-0.3689543134597928,0.40924266919658003
GROUND,1752846573.2461226,-0.36976062530806875,0.4103356232151495
GROUND,1752846573.258294,-0.37062882265537667,0.411051648436217
GROUND,1752846573.2704728,-0.371516999033219,0.4116596153777935
GROUND,1752846573.2821026,-0.37254224740699726,0.41243806667727867
GROUND,1752846573.2942998,-0.3734697853637181,0.412871939166623
GROUND,1752846573.3058941,-0.3745979407527056,0.41353917235937565
GROUND,1752846573.318106,-0.3757871762046694,0.4141171395684845
GROUND,1752846573.3303208,-0.3769545154297349,0.4144183031672216
GROUND,1752846573.3418827,-0.3782187100121881,0.4147062706401333
GROUND,1752846573.3541067,-0.37968567473572357,0.4153106981679672
GROUND,1752846573.3662891,-0.3812616093674559,0.4154998883662747
GROUND,1752846573.3778756,-0.3829074632573093,0.4152948952153651
GROUND,1752846573.3901193,-0.3848079438364471,0.414771530196284
GROUND,1752846573.4018416,-0.3868927659471266,0.41415803666419726
GROUND,1752846573.4141586,-0.3891268418472138,0.41360477814382235
GROUND,1752846573.4262114,-0.3913226447161344,0.41256136659204024
GROUND,1752846573.4380298,-0.39377109721511205,0.4118285275149902
GROUND,1752846573.4502358,-0.39619366638745657,0.41045360614956616
GROUND,1752846573.4618273,-0.3986858426018225,0.409505075471972
GROUND,1752846573.4762554,-0.4015750856002098,0.4088032222490656
GROUND,1752846573.4878743,-0.4039806526116907,0.4081340971684222
GROUND,1752846573.5000734,-0.40636820355063996,0.40728143253070115
GROUND,1752846573.5122533,-0.4089214449337608,0.4067430170817288
GROUND,1752846573.523889,-0.4113593959113815,0.40636049792172335
GROUND,1752846573.5360882,-0.41371844726371343,0.4057950622910589
GROUND,1752846573.5482817,-0.41618812022271134,0.40521934071025556
GROUND,1752846573.5599024,-0.4188086071945052,0.40484486308264567
GROUND,1752846573.5721545,-0.4212347139441164,0.40456248033533815
GROUND,1752846573.584365,-0.4235621669653922,0.40473652778544034
GROUND,1752846573.595982,-0.4257668124442193,0.4047559331048778
GROUND,1752846573.6081855,-0.4278658709215444,0.40471583128099675
GROUND,1752846573.6200373,-0.4299063071099152,0.4048361888099705
GROUND,1752846573.632282,-0.4318200714499487,0.40500339461720103
GROUND,1752846573.643941,-0.43385003674870415,0.4051822943920119
GROUND,1752846573.6562326,-0.43582210157164347,0.4055557923117542
GROUND,1752846573.6679714,-0.4377054908443956,0.4051055250526209
GROUND,1752846573.6802232,-0.439566621692693,0.4046777980754507
GROUND,1752846573.69193,-0.44157314150961247,0.40460349762034
GROUND,1752846573.7041,-0.4435570728377547,0.4039628122195521
GROUND,1752846573.7158456,-0.4457472779954852,0.4027762532865242
GROUND,1752846573.7280335,-0.44798754926969053,0.4011991568985601
GROUND,1752846573.7402382,-0.4504540322053141,0.3991099418510474
GROUND,1752846573.752426,-0.4529071894148995,0.3969006378483936
GROUND,1752846573.7641394,-0.45556430889134303,0.39433953374665154
GROUND,1752846573.7757468,-0.4582257461856676,0.3914534281852927
GROUND,1752846573.7880483,-0.4610727493981104,0.388114966121314
GROUND,1752846573.8002155,-0.46421374682969807,0.3846554510904626
GROUND,1752846573.8119452,-0.4675117952946328,0.3805300381245491
GROUND,1752846573.8241162,-0.470895737449335,0.37548580938058795
GROUND,1752846573.836305,-0.47462504438481545,0.3711528930071428
GROUND,1752846573.8479578,-0.4785673956034042,0.36657479600008813
GROUND,1752846573.860173,-0.4825699179397014,0.36074574910021084
GROUND,1752846573.8717942,-0.48686450219526334,0.3552696392060628
